,amount,timestamp,location,error_flag,reversal_executed,reversal_reason,hour,is_night,is_weekend,amount_log,sender_txn_count,sender_avg_amount_so_far,sender_std_amount_so_far,sender_seconds_since_last,sender_error_rate_so_far,beneficiary_txn_count_so_far,beneficiary_distinct_senders_so_far,is_new_beneficiary_for_sender,is_new_device_for_sender,is_new_location_for_sender,is_duplicate_like,channel_USSD,channel_mobile,channel_web,channel_ussd
sender_txn_count,-0.0027546723261465947,0.2818834222593498,0.03222558035142622,-0.3617195216531732,-0.3614072797390748,-0.1935722520052039,0.020286773455130795,-0.03938948097607224,-0.02678068359805029,-0.0034036454532832823,1.0,-0.0049615721926121355,0.45740362022452213,-0.041179020838252686,0.017981944126676523,0.26520234335189424,0.2704342400130305,-0.10093304356204871,-0.4455063328598239,-0.4567532384313523,,-0.0407248752343563,0.02885750542196189,0.0028655354233679924,
sender_avg_amount_so_far,0.5341670442235411,0.004480825893267699,-0.02251457590733516,0.04823115387730699,-0.010167489993066475,-0.010400967894998834,0.012849523590152873,-0.01458087940954747,0.005971482875096526,0.7540949779981173,-0.0049615721926121355,1.0,-0.015023795352310576,-0.0067470940263773295,7.668191366375439e-05,-0.007440908070180381,-0.0075481032921857275,0.0020379703139082874,0.016158447934806357,0.014983577933703973,,-0.016218212540679573,0.011106489154163866,0.001562881625914757,
sender_std_amount_so_far,0.03243394736244427,0.14258523219974636,0.01726280864470251,-0.6706238605895365,-0.6727677174025167,-0.3581747193591937,0.03443847061454791,-0.06434393412147046,-0.04953140114154891,-0.009924903771833115,0.45740362022452213,-0.015023795352310576,1.0,0.3296919150675754,0.1861408385558795,0.3309756008893465,0.3383705464723147,-0.07451003490545828,-0.8246567186699378,-0.8303810403126711,,-0.07711877468055298,0.05440851096622662,0.005686112912596011,
sender_seconds_since_last,-0.007447977707628755,0.16788025494019215,-0.004496591138620477,-0.23292015907622843,-0.23560576151754886,-0.126266828235023,0.014492320912912221,-0.022495455683711488,-0.01573665008099267,-0.007102055974356047,-0.041179020838252686,-0.0067470940263773295,0.3296919150675754,1.0,0.36959991244455753,0.14883426482763845,0.15245792512763567,0.03142138808861901,-0.2864021763922281,-0.29583348570683304,,-0.02246649937425898,0.01485214586409195,0.00274809698386625,
sender_error_rate_so_far,-0.005076462806512394,0.06321519203871635,-0.0024314004163642623,-0.0272238276526417,-0.03216020059746235,-0.011662072419057512,0.0011522440818398049,-0.009286876170733867,-0.0013187115323090991,-0.004502596470890073,0.017981944126676523,7.668191366375439e-05,0.1861408385558795,0.36959991244455753,1.0,0.0191828157682649,0.019599541824259475,-0.0040893111514586945,-0.044573296436766004,-0.06903874237805059,,0.0012783749058639983,0.002000281049581627,-0.0032676114661187357,
beneficiary_txn_count_so_far,-0.006999262118116064,0.23306443318073755,0.003459775359320363,-0.2941477087772763,-0.2940828333176743,-0.15900922460769576,0.01523643768407559,-0.02482802261227239,-0.022784032284449633,-0.002682016185889164,0.26520234335189424,-0.007440908070180381,0.3309756008893465,0.14883426482763845,0.0191828157682649,1.0,0.9994862845951918,-0.10784123083853446,-0.34347887024476015,-0.34144529364781606,,-0.03019283312318566,0.021019902338384813,0.0025341041479992354,
beneficiary_distinct_senders_so_far,-0.007185137931629896,0.2374405133208168,0.0036430434815935735,-0.3009446219734891,-0.30089110507722,-0.1626433956234851,0.015491871177120366,-0.025702775277751947,-0.023270755149486507,-0.0027411535392407103,0.2704342400130305,-0.0075481032921857275,0.3383705464723147,0.15245792512763567,0.019599541824259475,0.9994862845951918,1.0,-0.10240015385414725,-0.3510848579931286,-0.34914330271826993,,-0.030878595124205925,0.021572124940939498,0.0025098685522870375,
is_new_beneficiary_for_sender,-0.0005078838945995054,-0.020151240655136612,0.0005244223643656353,0.07048556805286722,0.07143911667980941,0.04226345207637685,-0.005146523904686025,0.002240761641085326,0.005807538973075445,0.001874403850106034,-0.10093304356204871,0.0020379703139082874,-0.07451003490545828,0.03142138808861901,-0.0040893111514586945,-0.10784123083853446,-0.10240015385414725,1.0,0.10104170575768584,0.10099052335197944,,0.007749807946143488,-0.004657692433096369,-0.0014570000989411228,
is_new_device_for_sender,0.017839808945829594,-0.11799135143424351,-0.013919754950988896,0.7221880293867485,0.7216617193119893,0.3868002287775623,-0.036201409840704586,0.06485784459314703,0.05590091166564722,0.011098802217992958,-0.4455063328598239,0.016158447934806357,-0.8246567186699378,-0.2864021763922281,-0.044573296436766004,-0.34347887024476015,-0.3510848579931286,0.10104170575768584,1.0,0.8747102501711506,,0.08353599541977919,-0.05689853800895721,-0.008387051930725944,
is_new_location_for_sender,0.015420335195150703,-0.12548644764344177,-0.015687659017317074,0.7172340638390032,0.7170085659163958,0.3844131560262989,-0.03657786011127469,0.06688360289760704,0.05463224311614356,0.009975210150278097,-0.4567532384313523,0.014983577933703973,-0.8303810403126711,-0.29583348570683304,-0.06903874237805059,-0.34144529364781606,-0.34914330271826993,0.10099052335197944,0.8747102501711506,1.0,,0.08118429150107312,-0.05580912192914735,-0.007590675178636008,
is_duplicate_like,,,,,,,,,,,,,,,,,,,,,,,,,
channel_USSD,-0.025546255385944353,-0.0007846345337898953,-0.011863046059462756,0.1077554127257133,0.07596073635723993,0.0745538442000234,0.002707566516509222,0.003242187507403087,-0.0060889616414157525,-0.01548767727796758,-0.0407248752343563,-0.016218212540679573,-0.07711877468055298,-0.02246649937425898,0.0012783749058639983,-0.03019283312318566,-0.030878595124205925,0.007749807946143488,0.08353599541977919,0.08118429150107312,,1.0,-0.4922999980912092,-0.30686896740344516,
channel_mobile,0.019003875592297662,-0.0026362605329686485,0.008903860085132451,-0.07343341559006626,-0.05171368648205543,-0.046171525224312525,0.009336521497236565,-0.0021820985198130593,0.012274325859760028,0.012259490424148405,0.02885750542196189,0.011106489154163866,0.05440851096622662,0.01485214586409195,0.002000281049581627,0.021019902338384813,0.021572124940939498,-0.004657692433096369,-0.05689853800895721,-0.05580912192914735,,-0.4922999980912092,1.0,-0.6773575084925098,
channel_web,0.0008113647478440329,0.0035457196971342606,0.0002904701467463384,-0.010776701493360772,-0.007653987561291779,-0.012524910472647591,-0.012497200352848974,-0.00035420841523377814,-0.008274966269163535,-0.00031527108936313847,0.0028655354233679924,0.001562881625914757,0.005686112912596011,0.00274809698386625,-0.0032676114661187357,0.0025341041479992354,0.0025098685522870375,-0.0014570000989411228,-0.008387051930725944,-0.007590675178636008,,-0.30686896740344516,-0.6773575084925098,1.0,
channel_ussd,,,,,,,,,,,,,,,,,,,,,,,,,
